,Address,Cars,Bluecar counter,Utilib counter,Utilib 1.4 counter,Charge Slots,Charging Status,City,ID,Kind,Postal code,Rental status,Slots,Station type,Status,Subscription status,Date,Time
1648,9 Rue de la Gare,5,5,0,0,0,nonexistent,Nanterre,nanterre-gare-9,STATION,92000,operational,0,station,ok,nonexistent,2018-04-05 00:00:00,2020-05-29 17:58:00
1649,45 rue du GÃ©nÃ©ral Leclerc,3,3,1,1,0,nonexistent,Bois-Colombes,boiscolombes-leclerc-45,STATION,92270,operational,0,station,ok,nonexistent,2018-04-05 00:00:00,2020-05-29 01:33:00
1650,12 rue Henri Sainte-Claire DÃ©ville,6,6,0,0,0,nonexistent,Rueil-Malmaison,rueilmalmaison-henrisainteclairedeville-12,STATION,92500,operational,0,station,ok,nonexistent,2018-04-03 00:00:00,2020-05-29 15:00:00
1651,28 Avenue de la Porte de Villiers,5,5,0,1,0,operational,Paris,paris-portedevilliers-28,STATION,75017,operational,0,station,ok,nonexistent,2018-04-07 00:00:00,2020-05-29 15:33:00
1652,22 boulevard FÃ©lix Faure,0,0,0,0,0,nonexistent,Aulnay-sous-bois,aulnaysousbois-felixfaure-22,SPACE,93600,operational,6,full_station,ok,operational,2018-04-09 00:00:00,2020-05-29 07:47:00
1653,137 avenue Jean JaurÃ¨s,4,4,0,0,0,nonexistent,Clamart,clamart-jeanjaures-137,STATION,92140,operational,1,station,ok,nonexistent,2018-04-03 00:00:00,2020-05-29 05:22:00
1654,5 rue FrÃ©dÃ©ric LoliÃ©e,3,3,1,2,0,operational,Paris,paris-fredericloliee-5,STATION,75020,operational,0,station,ok,nonexistent,2018-04-03 00:00:00,2020-05-29 09:32:00
1655,17 rue Guynemer,5,5,1,0,0,nonexistent,Dugny,dugny-guynemer-17,SPACE,93440,operational,0,full_station,ok,broken,2018-04-03 00:00:00,2020-05-29 00:26:00
1656,19 rue BrÃ©montier,1,1,0,0,1,operational,Paris,paris-bremontier-19,STATION,75017,operational,4,station,ok,nonexistent,2018-04-02 00:00:00,2020-05-29 13:19:00
1657,4 rue Ãmile Reynaud,0,0,0,0,2,operational,Paris,paris-emilereynaud-4,STATION,75019,operational,6,station,ok,nonexistent,2018-04-06 00:00:00,2020-05-29 15:50:00
1658,11 rue d'Astorg,0,0,0,0,1,operational,Paris,paris-astorg-11,STATION,75008,operational,5,station,ok,nonexistent,2018-04-07 00:00:00,2020-05-29 20:07:00
1659,2 Rue des EntrepÃ´ts,2,2,0,0,0,nonexistent,Saint-Ouen,saintouen-entrepots-2,STATION,93400,operational,2,station,ok,nonexistent,2018-04-05 00:00:00,2020-05-29 23:49:00
1660,142 Avenue LaferriÃ¨re,0,0,0,0,0,nonexistent,CrÃ©teil,creteil-laferriere-142,STATION,94000,broken,0,station,closed,nonexistent,2018-04-08 00:00:00,2020-05-29 08:33:00
1661,66 rue de la JonquiÃ¨re,0,0,0,0,1,operational,Paris,paris-jonquiere-66,STATION,75017,operational,4,station,ok,nonexistent,2018-04-08 00:00:00,2020-05-29 12:35:00
