,Address,Cars,Bluecar counter,Utilib counter,Utilib 1.4 counter,Charge Slots,Charging Status,City,ID,Kind,Postal code,Rental status,Slots,Station type,Status,Subscription status,Date,Time
0,2 Avenue de Suffren,0,0,0,0,0,nonexistent,Paris,paris-suffren-2,STATION,75015,operational,2,station,ok,nonexistent,2018-04-08 00:00:00,2020-05-29 11:43:00
1,145 Rue Raymond Losserand,6,6,0,0,0,operational,Paris,paris-raymondlosserand-145,STATION,75014,operational,0,station,ok,nonexistent,2018-04-06 00:00:00,2020-05-29 07:24:00
2,2 Avenue John Fitzgerald Kennedy,3,3,0,2,0,operational,Le Bourget,lebourget-johnfitzgeraldkennedy-2,STATION,93350,operational,1,station,ok,nonexistent,2018-04-03 00:00:00,2020-05-29 20:14:00
3,51 Rue EugÃ¨ne OudinÃ©,3,3,1,0,1,operational,Paris,paris-eugeneoudine-51,STATION,75013,operational,2,station,ok,nonexistent,2018-04-04 00:00:00,2020-05-29 04:37:00
4,6 avenue de la Porte de Champerret,3,3,0,0,0,nonexistent,Paris,paris-portedechamperret-6,PARKING,75017,operational,3,station,ok,nonexistent,2018-04-08 00:00:00,2020-05-29 17:23:00
5,8 Boulevard Voltaire,0,0,0,0,0,nonexistent,Paris,paris-voltaire-8,STATION,75011,operational,4,station,ok,nonexistent,2018-04-06 00:00:00,2020-05-29 07:02:00
6,37 rue Leblanc,0,0,0,0,0,nonexistent,Paris,paris-citroencevennes-parking,PARKING,75015,broken,0,station,closed,nonexistent,2018-04-08 00:00:00,2020-05-29 18:20:00
7,17 Rue des Luaps ProlongÃ©e,3,3,1,0,0,nonexistent,Nanterre,nanterre-luaps-17,STATION,92000,operational,0,station,ok,nonexistent,2018-04-04 00:00:00,2020-05-29 22:13:00
8,34 avenue Jean Moulin,1,1,0,0,0,nonexistent,Paris,paris-jeanmoulin-34,STATION,75014,operational,4,station,ok,nonexistent,2018-04-02 00:00:00,2020-05-29 22:58:00
9,41 boulevard de Rochechouart,6,6,0,0,0,nonexistent,Paris,paris-anvers-parking,PARKING,75009,operational,0,station,ok,nonexistent,2018-04-04 00:00:00,2020-05-29 15:02:00
10,14 rue Censier,0,0,0,0,2,operational,Paris,paris-censier-14,STATION,75005,operational,6,station,ok,nonexistent,2018-04-01 00:00:00,2020-05-29 04:39:00
11,12 Rue Francis de PressensÃ©,1,1,0,0,0,nonexistent,Puteaux,puteaux-francisdepressense-12,STATION,92800,operational,4,station,ok,nonexistent,2018-04-06 00:00:00,2020-05-29 09:20:00
12,6 avenue de la Porte de Champerret,5,5,1,0,0,nonexistent,Paris,paris-portedechamperret-6,PARKING,75017,operational,0,station,ok,nonexistent,2018-04-05 00:00:00,2020-05-29 12:22:00
13,34 avenue Jean Moulin,0,0,0,0,0,nonexistent,Paris,paris-jeanmoulin-34,STATION,75014,operational,0,station,ok,nonexistent,2018-04-08 00:00:00,2020-05-29 21:54:00
14,8 Boulevard Richard Lenoir,0,0,0,0,1,operational,Paris,paris-richardlenoir-8,STATION,75011,operational,4,station,ok,nonexistent,2018-04-06 00:00:00,2020-05-29 08:00:00
15,3 rue Jean JaurÃ¨s,0,0,0,0,0,nonexistent,Fontenay-aux-Roses,fontenayauxroses-jeanjaures-3,SPACE,92260,operational,4,full_station,ok,operational,2018-04-02 00:00:00,2020-05-29 00:21:00
16,2 avenue du GÃ©nÃ©ral Leclerc,0,0,0,0,0,nonexistent,Le Chesnay,lechesnay-leclerc-2,STATION,78150,operational,1,station,ok,nonexistent,2018-04-03 00:00:00,2020-05-29 19:00:00
17,182 Boulevard Voltaire,6,6,0,0,0,operational,Paris,paris-voltaire-182,STATION,75011,operational,0,station,ok,nonexistent,2018-04-09 00:00:00,2020-05-29 12:14:00
18,26 villa Croix-Nivert,5,5,0,0,0,nonexistent,Paris,paris-cambronne-parking,PARKING,75015,operational,0,station,ok,nonexistent,2018-04-09 00:00:00,2020-05-29 20:58:00
19,11 avenue RenÃ© Coty,4,4,0,2,0,operational,Paris,paris-renecoty-11,STATION,75014,operational,0,station,ok,nonexistent,2018-04-09 00:00:00,2020-05-29 21:31:00
20,2 Place de Catalogne,3,3,0,0,0,operational,Paris,paris-catalogne-2,SPACE,75014,operational,0,full_station,ok,operational,2018-04-05 00:00:00,2020-05-29 06:16:00
21,37 avenue Georges Pompidou,2,2,1,0,0,nonexistent,Suresnes,suresnes-georgespompidou-37,STATION,92150,operational,3,station,ok,nonexistent,2018-04-07 00:00:00,2020-05-29 07:32:00
22,5 rue Vauban,5,5,0,0,0,nonexistent,Versailles,versailles-vauban-5,STATION,78000,operational,1,station,ok,nonexistent,2018-04-05 00:00:00,2020-05-29 03:06:00
23,2 Rue du GÃ©nÃ©ral Malleret Joinville,2,2,0,0,0,nonexistent,Malakoff,malakoff-generalmalleretjoinville-2,STATION,92240,operational,4,station,ok,nonexistent,2018-04-01 00:00:00,2020-05-29 04:11:00
24,15 avenue Ãmile Deschanel,2,2,0,0,1,operational,Paris,paris-emiledeschanel-15,STATION,75007,operational,2,station,ok,nonexistent,2018-04-04 00:00:00,2020-05-29 23:27:00
25,182 Boulevard Voltaire,0,0,0,0,2,operational,Paris,paris-voltaire-182,STATION,75011,operational,5,station,ok,nonexistent,2018-04-05 00:00:00,2020-05-29 21:06:00
26,203 Rue du Faubourg-Saint-Martin,2,2,0,1,0,operational,Paris,paris-faubourgsaintmartin-203,STATION,75010,operational,2,station,ok,nonexistent,2018-04-03 00:00:00,2020-05-29 09:40:00
27,16 rue Guynemer,1,1,0,0,0,nonexistent,Issy-les-Moulineaux,issylesmoulineaux-guynemer-16,STATION,92130,operational,3,station,ok,nonexistent,2018-04-06 00:00:00,2020-05-29 19:53:00
28,8 rue Danton,0,0,0,0,2,operational,Paris,paris-danton-8,STATION,75006,operational,6,station,ok,nonexistent,2018-04-02 00:00:00,2020-05-29 23:28:00
29,35 rue de Boucry,0,0,0,0,0,broken,Paris,paris-boucry-35,STATION,75018,broken,0,station,closed,nonexistent,2018-04-08 00:00:00,2020-05-29 02:29:00
30,24 rue du Pont Louis-Philippe,0,0,0,0,2,operational,Paris,paris-pontlouisphilippe-24,STATION,75004,operational,5,station,ok,nonexistent,2018-04-09 00:00:00,2020-05-29 21:07:00
31,21 rue Miollis,4,4,0,0,1,operational,Paris,paris-miollis-21,STATION,75015,operational,2,station,ok,nonexistent,2018-04-03 00:00:00,2020-05-29 01:22:00
32,14 rue Sorbier,1,1,0,0,2,operational,Paris,paris-sorbier-14,STATION,75020,operational,2,station,ok,nonexistent,2018-04-08 00:00:00,2020-05-29 17:23:00
33,6 rue de Londres,3,3,0,0,0,nonexistent,Paris,paris-londres-6,STATION,75009,operational,0,station,ok,nonexistent,2018-04-09 00:00:00,2020-05-29 10:28:00
34,38 ter rue du Mont ValÃ©rien,3,3,0,0,0,operational,Saint-Cloud,saintcloud-montvalerien-38,STATION,92210,operational,2,station,ok,nonexistent,2018-04-03 00:00:00,2020-05-29 16:22:00
35,123 Grande Rue,2,2,0,1,0,nonexistent,SÃ¨vres,sevres-granderue-123,STATION,92310,operational,2,station,ok,nonexistent,2018-04-08 00:00:00,2020-05-29 03:09:00
36,5 rue des Ecoles,4,4,0,0,0,nonexistent,Nanterre,nanterre-ecoles-5,STATION,92000,operational,0,station,ok,nonexistent,2018-04-06 00:00:00,2020-05-29 11:51:00
37,5 rue FrÃ©dÃ©rick LemaÃ®tre,5,5,0,0,0,operational,Paris,paris-fredericklemaitre-5,STATION,75020,operational,0,station,ok,nonexistent,2018-04-03 00:00:00,2020-05-29 03:48:00
38,77 rue Edouard Vaillant,3,3,0,0,0,nonexistent,Bezons,bezons-edouardvaillant-77,SPACE,95870,operational,0,full_station,ok,broken,2018-04-01 00:00:00,2020-05-29 23:36:00
39,1 rue Jean Monnet,5,5,0,0,0,nonexistent,Nogent-sur-Marne,nogentsurmarne-jeanmonnet-1,SPACE,94130,operational,0,full_station,ok,broken,2018-04-02 00:00:00,2020-05-29 08:37:00
40,70 Boulevard de Clichy,2,2,0,0,0,operational,Paris,paris-clichy-70,STATION,75018,operational,1,station,ok,nonexistent,2018-04-03 00:00:00,2020-05-29 16:24:00
41,68 avenue Mozart,2,2,0,0,0,operational,Paris,paris-mozart-68,STATION,75016,operational,1,station,ok,nonexistent,2018-04-01 00:00:00,2020-05-29 21:17:00
42,16 rue Claude Bernard,1,1,0,0,2,operational,Paris,paris-claudebernard-16,STATION,75005,operational,3,station,ok,nonexistent,2018-04-04 00:00:00,2020-05-29 13:03:00
43,18 Rue Gabriel FaurÃ©,3,3,0,0,0,nonexistent,CrÃ©teil,creteil-gabrielfaure-18,STATION,94000,operational,3,station,ok,nonexistent,2018-04-02 00:00:00,2020-05-29 23:38:00
44,27 boulevard Gallieni,4,4,0,0,0,nonexistent,Issy-les-Moulineaux,issylesmoulineaux-gallieni-27,STATION,92130,operational,2,station,ok,nonexistent,2018-04-04 00:00:00,2020-05-29 11:54:00
45,42 bis avenue Georges Mandel,5,5,0,0,0,operational,Paris,paris-georgesmandel-42,STATION,75016,operational,1,station,ok,nonexistent,2018-04-06 00:00:00,2020-05-29 18:25:00
46,81 avenue de la Grande ArmÃ©e,0,0,0,0,0,broken,Paris,paris-grandearmee-81,STATION,75016,broken,0,station,closed,nonexistent,2018-04-06 00:00:00,2020-05-29 21:02:00
47,2 avenue de l'Ãpi dâOr,6,6,0,0,0,nonexistent,Villejuif,villejuif-epidor-2,STATION,94800,operational,0,station,ok,nonexistent,2018-04-05 00:00:00,2020-05-29 07:05:00
48,14 rue Censier,2,2,0,0,1,operational,Paris,paris-censier-14,STATION,75005,operational,4,station,ok,nonexistent,2018-04-05 00:00:00,2020-05-29 02:35:00
49,59 avenue Reille,3,3,0,1,1,operational,Paris,paris-reille-59,STATION,75014,operational,2,station,ok,nonexistent,2018-04-07 00:00:00,2020-05-29 09:06:00
50,2 bis Place du 8 mai 1945,4,4,0,1,0,nonexistent,Rueil-Malmaison,rueilmalmaison-8mai1945-2,STATION,92500,operational,0,station,ok,nonexistent,2018-04-06 00:00:00,2020-05-29 03:52:00
51,41 rue de Tolbiac,3,3,0,0,1,operational,Paris,paris-tolbiac-41,STATION,75013,operational,2,station,ok,nonexistent,2018-04-09 00:00:00,2020-05-29 19:49:00
52,2 Rue Fabre d'Ãglantine,2,2,0,0,1,operational,Paris,paris-fabredeglantine-2,STATION,75012,operational,2,station,ok,nonexistent,2018-04-09 00:00:00,2020-05-29 00:44:00
53,29 Avenue Georges Pompidou,6,6,0,0,0,operational,Villeneuve-la-Garenne,villeneuvelagarenne-pompidou-29,STATION,92390,operational,0,station,ok,nonexistent,2018-04-01 00:00:00,2020-05-29 11:56:00
54,17 Place de la RÃ©publique,0,0,0,0,0,nonexistent,Paris,paris-republique-17,STATION,75003,operational,3,station,ok,nonexistent,2018-04-03 00:00:00,2020-05-29 00:56:00
55,145 Rue Raymond Losserand,4,4,0,0,1,operational,Paris,paris-raymondlosserand-145,STATION,75014,operational,2,station,ok,nonexistent,2018-04-04 00:00:00,2020-05-29 10:09:00
56,11 rue de vincennes,6,6,0,0,0,nonexistent,Montreuil,montreuil-vincennes-11,STATION,93100,operational,0,station,ok,nonexistent,2018-04-07 00:00:00,2020-05-29 21:11:00
57,1 rue Velpeau,0,0,0,0,0,nonexistent,Paris,paris-sevresbabylone-parking,PARKING,75007,operational,6,station,ok,nonexistent,2018-04-06 00:00:00,2020-05-29 00:09:00
58,229 Rue Raymond Losserand,5,5,0,0,0,operational,Paris,paris-raymondlosserand-229,STATION,75014,operational,1,station,ok,nonexistent,2018-04-08 00:00:00,2020-05-29 08:22:00
59,1 Boulevard Murat,0,0,0,0,1,operational,Paris,paris-murat-1,STATION,75016,operational,5,station,ok,nonexistent,2018-04-04 00:00:00,2020-05-29 03:32:00
60,137 rue de la Pompe,3,3,0,0,0,operational,Paris,paris-pompe-137,STATION,75016,operational,0,station,ok,nonexistent,2018-04-03 00:00:00,2020-05-29 21:17:00
61,10 rue Guy Patin,3,3,0,0,0,operational,Paris,paris-guypatin-10,STATION,75010,operational,0,station,ok,nonexistent,2018-04-05 00:00:00,2020-05-29 15:54:00
62,1 rue Jacques Duchesne,3,3,0,2,0,operational,Paris,paris-jacquesduchesne-1,STATION,75019,operational,0,station,ok,nonexistent,2018-04-08 00:00:00,2020-05-29 10:55:00
63,147 rue de Paris,3,3,0,0,0,nonexistent,Charenton-le-Pont,charentonlepont-paris-147,STATION,94220,operational,0,station,ok,nonexistent,2018-04-02 00:00:00,2020-05-29 14:38:00
64,12 rue Henri Sainte-Claire DÃ©ville,4,4,0,0,0,nonexistent,Rueil-Malmaison,rueilmalmaison-henrisainteclairedeville-12,STATION,92500,operational,2,station,ok,nonexistent,2018-04-01 00:00:00,2020-05-29 01:29:00
65,4 rue Massenet,3,3,0,0,0,operational,Courbevoie,courbevoie-massenet-4,SPACE,92400,operational,2,full_station,ok,broken,2018-04-06 00:00:00,2020-05-29 15:59:00
66,37 rue Sainte-Croix de la Bretonnerie,2,2,0,0,0,nonexistent,Paris,paris-saintecroixdelabretonnerie-37,STATION,75004,operational,0,station,ok,nonexistent,2018-04-03 00:00:00,2020-05-29 11:11:00
67,229 Rue Raymond Losserand,5,5,0,1,0,operational,Paris,paris-raymondlosserand-229,STATION,75014,operational,0,station,ok,nonexistent,2018-04-07 00:00:00,2020-05-29 03:31:00
68,6 avenue Foch,0,0,0,0,0,nonexistent,Paris,paris-etoilefoch-parking,PARKING,75016,broken,0,station,closed,nonexistent,2018-04-05 00:00:00,2020-05-29 03:11:00
69,33 Rue du Ranelagh,6,6,0,0,0,operational,Paris,paris-ranelagh-33,STATION,75016,operational,0,station,ok,nonexistent,2018-04-02 00:00:00,2020-05-29 20:40:00
70,65 avenue Philippe Auguste,3,3,0,0,1,operational,Paris,paris-philippeauguste-65,STATION,75011,operational,1,station,ok,nonexistent,2018-04-02 00:00:00,2020-05-29 18:59:00
71,2 Rue Jean-Jacques Rousseau,5,5,0,0,0,nonexistent,AsniÃ¨res-sur-Seine,asnieressurseine-jeanjacquesrousseau-2,STATION,92600,operational,0,station,ok,nonexistent,2018-04-08 00:00:00,2020-05-29 03:10:00
72,55 avenue de SÃ©gur,3,3,1,0,1,operational,Paris,paris-segur-55,STATION,75007,operational,2,station,ok,nonexistent,2018-04-01 00:00:00,2020-05-29 17:48:00
73,81 Avenue Bosquet,0,0,0,0,2,operational,Paris,paris-bosquet-81,STATION,75007,operational,3,station,ok,nonexistent,2018-04-08 00:00:00,2020-05-29 08:02:00
74,102 Boulevard Raymond PoincarÃ©,6,6,0,0,0,nonexistent,Garches,garches-raymondpoincare-102,STATION,92380,operational,0,station,ok,nonexistent,2018-04-01 00:00:00,2020-05-29 06:13:00
75,17 Avenue Victoria,1,1,0,0,0,operational,Paris,paris-victoria-17,STATION,75001,operational,4,station,ok,nonexistent,2018-04-06 00:00:00,2020-05-29 04:41:00
76,2 Rue Marcelin Berthelot,1,1,0,0,0,nonexistent,Drancy,drancy-marcelinberthelot-2,STATION,93700,operational,2,station,ok,nonexistent,2018-04-04 00:00:00,2020-05-29 13:27:00
77,31 Boulevard Rochechouart,2,2,2,0,0,operational,Paris,paris-rochechouart-31,STATION,75009,operational,1,station,ok,nonexistent,2018-04-04 00:00:00,2020-05-29 02:59:00
78,1 rue Jules LefÃ¨bvre,0,0,0,0,2,operational,Paris,paris-juleslefebvre-1,STATION,75009,operational,6,station,ok,nonexistent,2018-04-06 00:00:00,2020-05-29 11:42:00
79,24 boulevard Diderot,0,0,0,0,0,operational,Paris,paris-diderot-24,SPACE,75012,operational,4,full_station,ok,operational,2018-04-02 00:00:00,2020-05-29 03:38:00
80,4 Rue Lobau,0,0,0,0,0,nonexistent,Paris,paris-lobau-parking,PARKING,75004,broken,0,station,closed,broken,2018-04-08 00:00:00,2020-05-29 14:03:00
81,2 rue du Charolais,2,2,0,0,1,operational,Paris,paris-charolais-2,STATION,75012,operational,4,station,ok,nonexistent,2018-04-09 00:00:00,2020-05-29 06:50:00
82,41 avenue de Verdun,5,5,0,1,0,nonexistent,La Garenne-Colombes,lagarennecolombes-verdun-41,STATION,92250,operational,0,station,ok,nonexistent,2018-04-09 00:00:00,2020-05-29 20:37:00
83,34 avenue Jean Moulin,3,3,0,0,0,nonexistent,Paris,paris-jeanmoulin-34,STATION,75014,operational,2,station,ok,nonexistent,2018-04-07 00:00:00,2020-05-29 05:22:00
84,32 rue Robert Marchand,5,5,0,0,0,nonexistent,Fontenay-aux-Roses,fontenayauxroses-robertmarchand-32,STATION,92260,operational,0,station,ok,nonexistent,2018-04-05 00:00:00,2020-05-29 20:58:00
85,41 Boulevard Bourdon,0,0,0,0,0,nonexistent,Paris,paris-bourdon-41,SPACE,75004,operational,4,full_station,ok,operational,2018-04-01 00:00:00,2020-05-29 07:55:00
86,1 Rue du Colonel Pierre Avia,0,0,0,0,2,operational,Paris,paris-colonelpierreavia-1,STATION,75015,operational,4,station,ok,nonexistent,2018-04-07 00:00:00,2020-05-29 22:52:00
87,17 Avenue Victoria,0,0,0,0,1,operational,Paris,paris-victoria-17,STATION,75001,operational,5,station,ok,nonexistent,2018-04-08 00:00:00,2020-05-29 06:08:00
88,10 Rue Sadi Carnot,2,2,0,0,0,nonexistent,AsniÃ¨res-sur-Seine,asnieressurseine-sadicarnot-10,STATION,92600,operational,0,station,ok,nonexistent,2018-04-05 00:00:00,2020-05-29 23:23:00
89,171 Rue de la Convention,3,3,0,0,0,nonexistent,Paris,paris-convention-171,STATION,75015,operational,0,station,ok,nonexistent,2018-04-07 00:00:00,2020-05-29 10:58:00
90,4 Rue Lobau,0,0,0,0,0,nonexistent,Paris,paris-lobau-parking,PARKING,75004,operational,4,station,ok,operational,2018-04-06 00:00:00,2020-05-29 07:09:00
91,17 boulevard Saint-Martin,0,0,0,0,0,nonexistent,Paris,paris-saintmartin-17,STATION,75003,operational,2,station,ok,nonexistent,2018-04-08 00:00:00,2020-05-29 11:48:00
92,51 avenue Karl Marx,4,4,0,0,0,nonexistent,Villejuif,villejuif-karlmarx-51,STATION,94800,operational,1,station,ok,nonexistent,2018-04-05 00:00:00,2020-05-29 06:02:00
93,137 Rue des PyrÃ©nÃ©es,2,2,0,0,1,operational,Paris,paris-pyrenees-137,SPACE,75020,operational,2,full_station,ok,operational,2018-04-06 00:00:00,2020-05-29 07:17:00
94,61 Boulevard Ãmile Zola,6,6,0,0,0,nonexistent,Nanterre,nanterre-emilezola-61,STATION,92000,operational,0,station,ok,nonexistent,2018-04-05 00:00:00,2020-05-29 05:07:00
95,10 Rue du Ranelagh,1,1,0,0,0,nonexistent,Paris,paris-ranelagh-10,STATION,75016,operational,5,station,ok,nonexistent,2018-04-07 00:00:00,2020-05-29 06:55:00
96,10 rue Guy Patin,3,3,0,0,2,operational,Paris,paris-guypatin-10,STATION,75010,operational,3,station,ok,nonexistent,2018-04-02 00:00:00,2020-05-29 07:31:00
97,24 Avenue d'IÃ©na,0,0,0,0,0,nonexistent,Paris,paris-iena-24,STATION,75016,operational,4,station,ok,nonexistent,2018-04-01 00:00:00,2020-05-29 06:20:00
98,56 Rue La Fayette,3,3,0,0,0,operational,Paris,paris-lafayette-56,STATION,75009,operational,1,station,ok,nonexistent,2018-04-06 00:00:00,2020-05-29 12:19:00
99,204 rue dâEstienne dâOrves,1,1,0,0,0,nonexistent,VerriÃ¨res-le-Buisson,verriereslebuisson-destiennedorves-204,STATION,91370,operational,6,station,ok,nonexistent,2018-04-06 00:00:00,2020-05-29 13:40:00
100,13 rue Malher,2,2,0,1,0,nonexistent,Paris,paris-malher-13,STATION,75004,operational,0,station,ok,nonexistent,2018-04-02 00:00:00,2020-05-29 19:19:00
101,1 rue Claude Terrasse,1,1,0,0,0,operational,Le Blanc-Mesnil,leblancmesnil-claudeterrasse-1,STATION,93150,operational,5,station,ok,nonexistent,2018-04-03 00:00:00,2020-05-29 03:48:00
102,6 avenue Emile Zola,1,1,0,1,0,nonexistent,Paris,paris-emilezola-6,STATION,75015,operational,2,station,ok,nonexistent,2018-04-05 00:00:00,2020-05-29 18:58:00
103,231 rue des PyrÃ©nÃ©es,2,2,0,0,0,nonexistent,Paris,paris-pyrenees-231,STATION,75020,operational,1,station,ok,nonexistent,2018-04-03 00:00:00,2020-05-29 07:43:00
104,116 rue RÃ©aumur,0,0,0,0,0,operational,Paris,paris-reaumur-116,STATION,75002,operational,0,station,ok,nonexistent,2018-04-03 00:00:00,2020-05-29 18:29:00
105,11 rue Gerbert,5,5,0,0,0,operational,Paris,paris-gerbert-11,STATION,75015,operational,0,station,ok,nonexistent,2018-04-04 00:00:00,2020-05-29 23:50:00
106,126 rue de Colombes,1,1,0,0,0,nonexistent,La Garenne-Colombes,lagarennecolombes-colombes-126,STATION,92250,operational,6,station,ok,nonexistent,2018-04-01 00:00:00,2020-05-29 09:58:00
107,94 Rue Paul Vaillant Couturier,6,6,0,0,0,nonexistent,Nanterre,nanterre-paulvaillantcouturier-94,STATION,92000,operational,0,station,ok,nonexistent,2018-04-04 00:00:00,2020-05-29 07:23:00
108,7 Rue Pruvot,0,0,0,0,0,nonexistent,Vanves,vanves-pruvot-7,STATION,92170,broken,0,station,closed,nonexistent,2018-04-04 00:00:00,2020-05-29 08:51:00
109,33 Avenue Jules Quentin,3,3,2,1,0,nonexistent,Nanterre,nanterre-julesquentin-33,STATION,92000,operational,0,station,ok,nonexistent,2018-04-08 00:00:00,2020-05-29 22:57:00
110,2 Avenue John Fitzgerald Kennedy,3,3,0,0,1,operational,Le Bourget,lebourget-johnfitzgeraldkennedy-2,STATION,93350,operational,3,station,ok,nonexistent,2018-04-01 00:00:00,2020-05-29 04:43:00
111,182 Boulevard Voltaire,1,1,0,0,2,operational,Paris,paris-voltaire-182,STATION,75011,operational,4,station,ok,nonexistent,2018-04-06 00:00:00,2020-05-29 12:13:00
112,3 rue de Vaugirard,1,1,0,0,0,operational,Paris,paris-vaugirard-3,STATION,75006,operational,2,station,ok,nonexistent,2018-04-03 00:00:00,2020-05-29 20:34:00
113,98 boulevard Murat,5,5,0,0,0,operational,Paris,paris-murat-98,STATION,75016,operational,0,station,ok,nonexistent,2018-04-05 00:00:00,2020-05-29 17:07:00
114,139 boulevard de Grenelle,6,6,0,0,0,operational,Paris,paris-grenelle-139,STATION,75015,operational,0,station,ok,nonexistent,2018-04-01 00:00:00,2020-05-29 21:46:00
115,161 rue du Faubourg Saint-HonorÃ©,1,1,0,0,1,operational,Paris,paris-sainthonore-161,STATION,75008,operational,4,station,ok,nonexistent,2018-04-02 00:00:00,2020-05-29 13:49:00
116,1 rue de Chanaleilles,3,3,0,0,0,operational,Paris,paris-chanaleilles-1,STATION,75007,operational,1,station,ok,nonexistent,2018-04-09 00:00:00,2020-05-29 16:51:00
117,66 rue Gay-Lussac,1,1,0,0,1,operational,Paris,paris-gaylussac-66,SPACE,75005,operational,4,full_station,ok,operational,2018-04-09 00:00:00,2020-05-29 01:07:00
118,2 rue de Fleurus,1,1,0,0,1,operational,Paris,paris-fleurus-2,STATION,75006,operational,2,station,ok,nonexistent,2018-04-05 00:00:00,2020-05-29 23:04:00
119,2 rue de la Coussaye,2,2,0,0,0,nonexistent,Enghien-les-Bains,enghienlesbains-coussaye-2,STATION,95880,operational,3,station,ok,nonexistent,2018-04-03 00:00:00,2020-05-29 11:18:00
120,2 rue de la RÃ©publique,6,6,0,0,0,operational,Montreuil,montreuil-republique-2,STATION,93100,operational,1,station,ok,nonexistent,2018-04-03 00:00:00,2020-05-29 13:48:00
121,52 Rue de Bagneux,4,4,1,0,0,nonexistent,Sceaux,sceaux-bagneux-52,STATION,92330,operational,1,station,ok,nonexistent,2018-04-08 00:00:00,2020-05-29 08:26:00
122,8 Avenue de la Porte de Montrouge,3,3,0,1,1,operational,Paris,paris-portedemontrouge-8,STATION,75014,operational,2,station,ok,nonexistent,2018-04-08 00:00:00,2020-05-29 19:57:00
123,35 rue Mathis,0,0,0,0,0,nonexistent,Paris,paris-mathis-35,STATION,75019,operational,4,station,ok,nonexistent,2018-04-01 00:00:00,2020-05-29 00:32:00
124,3 boulevard du Couchant,6,6,0,0,0,nonexistent,Nanterre,nanterre-couchant-3,STATION,92000,operational,0,station,ok,nonexistent,2018-04-04 00:00:00,2020-05-29 06:40:00
125,1 Place de la RÃ©publique,1,1,0,1,0,nonexistent,Levallois-Perret,levalloisperret-hoteldeville-parking,PARKING,92300,operational,2,station,ok,nonexistent,2018-04-09 00:00:00,2020-05-29 10:47:00
126,38 Rue RÃ©aumur,0,0,0,0,2,operational,Paris,paris-reaumur-38,STATION,75003,operational,6,station,ok,nonexistent,2018-04-02 00:00:00,2020-05-29 14:32:00
127,47 rue de la Grange aux Belles,3,3,0,0,0,operational,Paris,paris-grangeauxbelles-47,STATION,75010,operational,2,station,ok,nonexistent,2018-04-06 00:00:00,2020-05-29 01:31:00
128,31 Rue Camille Desmoulins,2,2,0,1,0,nonexistent,Issy-les-Moulineaux,issylesmoulineaux-camillesdesmoulins-31,STATION,92130,operational,3,station,ok,nonexistent,2018-04-02 00:00:00,2020-05-29 00:00:00
129,19 Rue des Filles du Calvaire,1,1,1,0,1,operational,Paris,paris-fillesducalvaire-19,STATION,75003,operational,1,station,ok,nonexistent,2018-04-05 00:00:00,2020-05-29 14:51:00
130,81 avenue Ãdouard Vaillant,2,2,0,0,0,nonexistent,Boulogne-Billancourt,boulognebillancourt-edouardvaillant-81,STATION,92100,operational,1,station,ok,nonexistent,2018-04-08 00:00:00,2020-05-29 18:41:00
131,280 avenue Jean JaurÃ¨s,0,0,0,0,0,nonexistent,ChÃ¢tenay-Malabry,chatenaymalabry-jeanjaures-280,STATION,92290,broken,0,station,closed,nonexistent,2018-04-09 00:00:00,2020-05-29 00:50:00
132,33 rue Crozatier,0,0,0,0,0,broken,Paris,paris-crozatier-33,STATION,75012,broken,0,station,closed,nonexistent,2018-04-05 00:00:00,2020-05-29 06:08:00
133,4 Avenue SecrÃ©tan,2,2,0,1,0,operational,Paris,paris-secretan-4,STATION,75019,operational,1,station,ok,nonexistent,2018-04-05 00:00:00,2020-05-29 09:27:00
134,34 avenue du CimetiÃ¨re Parisien,0,0,0,0,0,nonexistent,Pantin,pantin-cimetiereparisien-34,STATION,93500,broken,0,station,closed,nonexistent,2018-04-08 00:00:00,2020-05-29 22:38:00
135,6 rue de Paris,1,1,0,0,0,nonexistent,Meudon,meudon-paris-6,STATION,92190,operational,1,station,ok,nonexistent,2018-04-09 00:00:00,2020-05-29 09:29:00
136,4 Rue Croix des Petits Champs,0,0,0,0,0,nonexistent,Paris,paris-croixdespetitschamps-4,STATION,75001,operational,3,station,ok,nonexistent,2018-04-08 00:00:00,2020-05-29 13:57:00
137,3 avenue d'Ivry,2,2,0,0,1,operational,Paris,paris-ivry-3,STATION,75013,operational,1,station,ok,nonexistent,2018-04-02 00:00:00,2020-05-29 11:10:00
138,23 avenue du GÃ©nÃ©ral de Gaulle,5,5,0,1,0,nonexistent,Gennevilliers,gennevilliers-degaulle-23,STATION,92230,operational,0,station,ok,nonexistent,2018-04-08 00:00:00,2020-05-29 08:42:00
139,15 boulevard Mortier,1,1,0,0,1,operational,Paris,paris-mortier-15,STATION,75020,operational,4,station,ok,nonexistent,2018-04-08 00:00:00,2020-05-29 03:45:00
140,44 rue de Fontenay,2,2,0,1,0,nonexistent,Vincennes,vincennes-fontenay-44,STATION,94300,operational,0,station,ok,nonexistent,2018-04-07 00:00:00,2020-05-29 14:50:00
141,10 rue du Quatre septembre,0,0,0,0,1,operational,Paris,paris-quatreseptembre-10,STATION,75002,operational,5,station,ok,nonexistent,2018-04-05 00:00:00,2020-05-29 23:35:00
